City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,kirovskaya,46.9748,40.0402,63.73,37,0,6.31,RU,1723511222
291,bac lieu,9.285,105.7244,84.11,75,24,6.31,VN,1723511223
292,kinablangan,7.6947,126.5503,83.26,70,20,2.46,PH,1723511224
293,shatki,55.1887,44.1249,54.0,97,100,8.84,RU,1723511225
294,kailua-kona,19.6406,-155.9956,85.28,70,75,9.22,US,1723511226
295,ennis,52.8436,-8.9864,62.53,82,75,14.97,IE,1723511227
296,kargasok,59.0556,80.8572,55.44,75,100,5.3,RU,1723511228
297,zeya,53.75,127.2667,80.53,51,0,2.46,RU,1723511229
298,tadmur,34.5608,38.2805,77.92,48,0,13.91,SY,1723511230
299,san patricio,28.017,-97.5169,86.74,67,85,14.16,US,1723511232
300,bada,51.392,109.8717,77.92,47,51,1.61,RU,1723511233
301,kibondo,-3.5864,30.7203,63.73,47,3,1.88,TZ,1723511235
302,necochea,-38.5473,-58.7368,44.42,65,31,12.01,AR,1723511236
303,lundazi,-12.2929,33.1782,60.67,53,0,6.42,ZM,1723511237
304,punta arenas,-53.15,-70.9167,37.51,100,40,8.05,CL,1723511238
305,sanghar,26.0466,68.9481,84.61,73,59,11.81,PK,1723511239
306,daru,-9.0763,143.2092,79.16,84,47,13.51,PG,1723511240
307,saint-pierre,-21.3393,55.4781,69.48,49,0,9.22,RE,1723511242
308,troitsko-pechorsk,62.7084,56.1964,51.87,89,96,5.28,RU,1723511243
309,nizhneudinsk,54.9076,99.0276,58.05,87,100,3.2,RU,1723511244
310,chui,-33.6971,-53.4616,40.15,79,0,5.77,UY,1723511245
311,ambodifotatra,-16.9833,49.85,72.07,82,27,1.97,MG,1723511246
312,kerikeri,-35.2268,173.9474,59.29,57,11,10.0,NZ,1723511247
313,alvorada,-12.48,-49.1247,81.05,29,0,6.29,BR,1723511248
314,holualoa,19.6228,-155.9522,81.55,70,75,9.22,US,1723511249
315,afif,23.9065,42.9172,85.1,20,90,7.14,SA,1723511250
316,fortuna,40.5982,-124.1573,65.32,59,0,18.41,US,1723511251
317,nuku'alofa,-21.1333,-175.2,73.74,49,75,6.91,TO,1723511253
318,binkolo,8.9533,-11.9779,73.0,99,100,1.88,SL,1723511254
319,constantia,44.1833,28.65,74.07,74,0,11.27,RO,1723511255
320,prince rupert,54.3161,-130.3201,59.09,100,100,3.44,CA,1723511256
321,misratah,32.3754,15.0925,80.58,72,0,5.14,LY,1723511257
322,midvagur,62.0511,-7.1939,54.43,87,100,23.02,FO,1723511258
323,sao gabriel da cachoeira,-0.1303,-67.0892,72.41,97,89,2.15,BR,1723511185
324,miquelon,47.0975,-56.3814,62.6,92,20,12.08,PM,1723511260
325,usinsk,65.9939,57.5281,50.81,77,98,12.73,RU,1723510988
326,ugoofaaru,5.6667,73.0,78.35,89,100,22.24,MV,1723511263
327,ta`u,-14.2336,-169.5144,77.72,77,41,21.32,AS,1723511264
328,la tuque,47.4334,-72.7824,60.67,80,65,2.28,CA,1723511265
329,papar,5.7333,115.9333,82.76,74,99,1.03,MY,1723511266
330,wewak,-3.5534,143.6268,84.56,67,100,6.04,PG,1723511267
331,vorgashor,67.5833,63.95,52.84,71,100,12.64,RU,1723511268
332,tionk essil,12.7856,-16.5217,77.9,90,73,7.72,SN,1723511269
333,kalmunai,7.4167,81.8167,79.54,80,100,6.11,LK,1723511270
334,acatic,20.7833,-102.8833,68.86,75,98,2.48,MX,1723511271
335,meiganga,6.5167,14.3,65.07,99,100,3.87,CM,1723511273
336,bokkos,9.3,9.0,63.36,99,98,6.76,NG,1723511274
337,fort st. john,56.2499,-120.8529,84.09,28,40,4.61,CA,1723511058
338,klaksvik,62.2266,-6.589,52.7,90,93,32.66,FO,1723511276
339,arkalyk,50.2486,66.9114,70.0,39,45,17.09,KZ,1723511277
340,ingeniero jacobacci,-41.3427,-69.5448,46.02,64,100,6.82,AR,1723511278
341,orumiyeh,37.5527,45.0761,69.12,50,56,3.4,IR,1723511279
342,taksimo,56.3444,114.8794,75.52,67,100,1.1,RU,1723511280
343,shalqar,47.8333,59.6,72.79,65,100,14.94,KZ,1723511281
344,shenjiamen,29.9576,122.298,84.29,83,25,7.29,CN,1723511283
345,iskateley,67.6803,53.1512,44.26,93,83,11.1,RU,1723511284
346,farafangana,-22.8167,47.8333,67.03,91,2,4.23,MG,1723511285
